,County Name-alias,SUM(Population)-alias,AGG(First COVID-19 Dose Administered)-alias,AGG(COVID-19 Doses Administered)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(County Word)-alias,AGG(Percent of Population First Dose)-alias
0,Wright,18289,1001,1213,37.2725,37.273,-92.4725,-92.473, County,0.0547323527803598
1,Worth,2013,257,313,40.4778,40.478,-94.4318,-94.432, County,0.1276701440635867
2,Webster,39592,2916,3799,37.2756,37.276,-92.8844,-92.884, County,0.0736512426752879
3,Wayne,12873,941,1046,37.1184,37.118,-90.5006,-90.501, County,0.0730987337838888
4,Washington,24730,1592,1855,37.9701,37.970,-90.868,-90.868, County,0.0643752527294784
5,Warren,35649,1715,2227,38.7692,38.769,-91.1898,-91.190, County,0.048107941316727
6,Vernon,20563,1450,1862,37.8515,37.852,-94.3425,-94.343, County,0.070515002674707
7,Texas,25398,1491,1679,37.3295,37.330,-91.9496,-91.950, County,0.0587054098747933
8,Taney,55928,3088,3855,36.6632,36.663,-93.0397,-93.040, County,0.0552138463739093
9,Sullivan,6089,592,667,40.2195,40.220,-93.1111,-93.111, County,0.0972245032024963
10,Stone,31952,2129,2415,36.7415,36.742,-93.4417,-93.442, County,0.0666311967951928
11,Stoddard,29025,2807,3211,36.8776,36.878,-89.9732,-89.973, County,0.0967097329888028
12,Ste. Genevieve,17894,2082,2438,37.8995,37.900,-90.1973,-90.197, County,0.1163518497820499
13,St. Louis City,300576,19642,28456,38.6529,38.653,-90.241,-90.241,,0.0653478654317045
14,St. Louis,994205,80760,109285,38.6443,38.644,-90.5089,-90.509, County,0.0812307320924759
15,St. Francois,67215,5016,6633,37.86,37.860,-90.5396,-90.540, County,0.0746261995090382
16,St. Clair,9397,647,768,38.0293,38.029,-93.7825,-93.783, County,0.0688517612003831
17,St. Charles,402022,28744,38273,38.7506,38.751,-90.7313,-90.731, County,0.0714985747048669
18,Shelby,5930,1070,1211,39.7834,39.783,-92.0688,-92.069, County,0.1804384485666105
19,Shannon,8166,417,466,37.1531,37.153,-91.3443,-91.344, County,0.0510653930933137
20,Scott,38280,5699,6806,37.0569,37.057,-89.5778,-89.578, County,0.1488766980146291
21,Scotland,4902,508,565,40.4469,40.447,-92.1481,-92.148, County,0.1036311709506324
22,Schuyler,4660,276,314,40.4709,40.471,-92.5271,-92.527, County,0.0592274678111588
23,Saline,22761,3045,3617,39.1699,39.170,-93.1932,-93.193, County,0.1337814683010413
24,Ripley,13288,1123,1597,36.663,36.663,-90.8575,-90.858, County,0.0845123419626731
25,Reynolds,6270,212,233,37.3418,37.342,-90.9633,-90.963, County,0.0338118022328549
26,Ray,23018,1586,1965,39.3318,39.332,-93.9855,-93.986, County,0.0689025979668086
27,Randolph,24748,2124,2453,39.4287,39.429,-92.5051,-92.505, County,0.0858251171811864
28,Ralls,10309,890,1029,39.5072,39.507,-91.5365,-91.537, County,0.0863323309729363
29,Putnam,4696,433,450,40.4661,40.466,-93.0345,-93.035, County,0.092206132879046
30,Pulaski,52607,1812,2344,37.8222,37.822,-92.2172,-92.217, County,0.0344440853878761
31,Polk,32149,2574,3285,37.623,37.623,-93.3955,-93.396, County,0.0800646987464618
32,Platte,104418,7459,10148,39.3441,39.344,-94.7555,-94.756, County,0.0714340439387845
33,Pike,18302,1313,1528,39.3683,39.368,-91.1708,-91.171, County,0.0717407933559174
34,Phelps,44573,3194,4617,37.8779,37.878,-91.7751,-91.775, County,0.0716577300159289
35,Pettis,42339,4928,5715,38.7213,38.721,-93.2813,-93.281, County,0.1163938685372824
36,Perry,19136,2371,2728,37.7345,37.735,-89.8308,-89.831, County,0.1239025919732442
37,Pemiscot,15805,696,850,36.2112,36.211,-89.8163,-89.816, County,0.0440366972477064
38,Ozark,9174,620,675,36.6527,36.653,-92.4424,-92.442, County,0.0675822977981251
39,Osage,13615,1147,1302,38.4977,38.498,-91.8255,-91.826, County,0.0842453176643408
40,Oregon,10529,623,781,36.6933,36.693,-91.3993,-91.399, County,0.0591699116725235
41,Nodaway,22092,2863,3231,40.3528,40.353,-94.8889,-94.889, County,0.1295944233206591
42,Newton,58236,1976,2694,36.9,36.900,-94.3411,-94.341, County,0.0339309018476544
43,NewMadrid,%null%,1737,2031,36.6039,36.604,-89.6708,-89.671, County,%null%
44,Morgan,20627,1699,1941,38.4384,38.438,-92.852,-92.852, County,0.082367770398022
45,Montgomery,11551,1437,1633,38.9155,38.916,-91.4522,-91.452, County,0.1244048134360662
46,Monroe,8644,1230,1441,39.5012,39.501,-92.0092,-92.009, County,0.1422952336881074
47,Moniteau,16132,1476,1723,38.672,38.672,-92.6281,-92.628, County,0.0914951648896603
48,Mississippi,13180,1401,1641,36.82,36.820,-89.3309,-89.331, County,0.1062974203338392
49,Miller,25619,1518,1864,38.2239,38.224,-92.4463,-92.446, County,0.0592528982395878
50,Mercer,3617,239,265,40.4226,40.423,-93.5657,-93.566, County,0.0660768592756428
51,McDonald,22837,1012,1271,36.6379,36.638,-94.3448,-94.345, County,0.0443140517581118
52,Marion,28530,3729,4483,39.8028,39.803,-91.607,-91.607, County,0.1307045215562566
53,Maries,8697,695,830,38.1513,38.151,-91.9061,-91.906, County,0.0799126135449005
54,Madison,12088,1093,1296,37.4749,37.475,-90.3456,-90.346, County,0.0904202514890801
